"engine","noise","mean_word_error","preprocess_tokens","postprocess_terms","postprocess_tokens","rf_accuracy","svm_accuracy","nb_accuracy","ner_retrieval","ner_f1"
"textract","col + ink",15.5798757763975,68092,3685,25865,0.954329004329004,0.666004742439525,0.12765163897887,0.628642667913355,0.654976457217081
"textract","bin + blur",67.6231055900621,39588,2216,10507,0.784632034632035,0.285810085244868,0.119735990173061,0.174068879538725,0.226594989349833
"textract","bin + weak",10.7032298136646,67238,3416,24619,0.9495670995671,0.654966988727858,0.119083816260018,0.663394109396914,0.699301848049281
"textract","bin + snp",2.65254658385093,77906,3809,28519,0.967965367965368,0.757103143233578,0.136977096892429,0.74770141810815,0.742609503172883
"textract","bin + wm",1.97770186335404,78053,3813,28607,0.963419913419913,0.754634476634477,0.136174725350927,0.754246532647655,0.748994119467657
"textract","bin + scrib",3.41447204968944,77141,3812,28287,0.963203463203463,0.830694509194509,0.132648092563424,0.732117812061711,0.728315634446942
"textract","bin + ink",12.6385093167702,69504,3715,26230,0.958874458874459,0.681411663216011,0.114106184433416,0.64796633941094,0.669565217391304
"textract","col + blur + weak",14.6177329192547,75002,4036,26766,0.958874458874459,0.661555420424986,0.130713938997692,0.54932211313698,0.574478487614081
"textract","col + blur + snp",47.1738819875776,50555,2880,15381,0.802597402597403,0.162260869565217,0.0741436397317404,0.179367305594515,0.252744839701361
"textract","col + blur + wm",18.1524534161491,75927,4068,26538,0.958874458874459,0.742075443879792,0.14283314016266,0.551192145862553,0.564925730713943
"textract","col + blur + scrib",16.296801242236,73424,3986,26627,0.954112554112554,0.764103864734299,0.132955451870784,0.561633161913667,0.5823705259756
"textract","col + blur + ink",25.2259937888199,65599,3803,24457,0.959090909090909,0.669450446493925,0.14182689926397,0.498675393486053,0.542051325484882
"textract","col + weak + snp",15.2831677018634,72436,3808,25593,0.917748917748918,0.509271301162606,0.173158191922494,0.443821100202587,0.47498332221481
"textract","col + weak + wm",6.41301242236025,77056,3839,27679,0.967965367965368,0.737124657950745,0.100579551645913,0.602773881876266,0.605273452781472
"textract","col + weak + scrib",9.02521739130435,75303,3815,27188,0.963419913419913,0.790057646861995,0.11584270954065,0.576593423718248,0.583458172356698
"textract","col + weak + ink",18.8539440993789,67266,3767,25190,0.958874458874459,0.657299331103679,0.11084270954065,0.502882967118591,0.531587183922247
"textract","col + snp + wm",2.35816770186335,77908,3807,28479,0.958874458874459,0.790489300554518,0.118735990173061,0.743338008415147,0.739821636293137
"textract","col + snp + scrib",4.17409937888199,76854,3801,28152,0.967965367965368,0.793434529238877,0.127083816260018,0.710300763596696,0.709803005528303
"textract","col + snp + ink",17.0994099378882,67793,3675,25712,0.963636363636364,0.651413448869971,0.132780191585684,0.617266635499455,0.645271646167631
"textract","col + wm + scrib",6.53931677018634,76968,3861,28150,0.963419913419913,0.782451324842629,0.127281444718516,0.706404862085086,0.699159404642554
"textract","col + wm + ink",19.0467701863354,64898,3646,24944,0.963419913419913,0.782518235387801,0.110604614302555,0.595761259155369,0.634470168450751
"textract","col + scrib + ink",19.9535714285714,64592,3668,24945,0.963419913419913,0.760577871403958,0.114732978691789,0.574567554932211,0.610127420155552
"textract","bin + blur + weak",70.3994409937888,38053,2049,9568,0.797402597402597,0.342168179646441,0.119735990173061,0.151005142589995,0.190186457311089
"textract","bin + blur + snp",70.0260869565217,36809,2137,9859,0.743939393939394,0.272359683794466,0.119735990173061,0.147576749259779,0.201339428085468
"textract","bin + blur + wm",66.3660869565217,39367,2214,10617,0.812554112554113,0.268625788060571,0.119735990173061,0.173289699236403,0.231016931546692
"textract","bin + blur + scrib",68.9842857142857,38159,2186,10386,0.927056277056277,0.351533028163463,0.119735990173061,0.158329437431822,0.209960735689192
"textract","bin + blur + ink",71.7414906832298,34875,2095,9577,0.784632034632035,0.251367808519982,0.119735990173061,0.152563503194639,0.203555463145857
"textract","bin + weak + snp",3.29934782608696,77772,3843,28358,0.958874458874459,0.664048096830706,0.13091156745619,0.720118435405953,0.717825242718447
"textract","bin + weak + wm",2.16801242236025,78004,3803,28503,0.958874458874459,0.741511126554605,0.122820658365281,0.75549322113137,0.750580585229912
"textract","bin + weak + scrib",4.23254658385093,76984,3797,28070,0.963419913419913,0.795384065210152,0.126669737585069,0.726975222066386,0.723255813953488
"textract","bin + weak + ink",14.0975465838509,69009,3711,25957,0.958874458874459,0.694420655833699,0.140779468433931,0.644226273959794,0.666451716911172
"textract","bin + snp + wm",2.03757763975155,77945,3806,28538,0.963419913419913,0.714194621803317,0.140977096892429,0.749259778712794,0.744330056505922
"textract","bin + snp + scrib",3.80267080745342,77079,3821,28202,0.967965367965368,0.827442390138042,0.144889199282792,0.719339255103631,0.715049182867322
"textract","bin + snp + ink",15.2769565217391,68772,3718,25956,0.958658008658009,0.722733652016261,0.137024527722468,0.629421848215677,0.651714400968132
"textract","bin + wm + scrib",4.98832298136646,76988,3809,28175,0.958874458874459,0.768060194234107,0.137479073177014,0.716845878136201,0.712405141706675
"textract","bin + wm + ink",18.9827329192547,64722,3656,24988,0.958874458874459,0.73490675990676,0.124083816260018,0.587346111890291,0.627486889203363
"textract","bin + scrib + ink",18.5038198757764,65352,3663,24997,0.954112554112554,0.770077675142892,0.150324922979385,0.578151784322892,0.617099135063207
"dai","col",1.28972049689441,77596,3797,28677,0.963419913419913,0.689578195556456,0.141739001654333,0.796166432912576,0.789339513325608
