"K","exclus","semcoh","heldout","residual","bound","lbound","em.its","engine","noise","mean_word_error","uniq","highest_heldout_k"
9,9.39838124995611,-73.1410052725787,-7.59432231625283,1.48277705786414,-242962.668934057,-242949.867106577,225,"tesseract","bin",2.27,"tesseract bin",6
10,9.49738236571785,-59.3048010181608,-7.4922778631177,1.48592224851767,-239782.944319814,-239767.839907241,257,"tesseract","bin",2.27,"tesseract bin",6
11,9.49086738205906,-58.5631072293419,-7.53326512022568,1.478104825222,-239290.880179504,-239273.377871659,175,"tesseract","bin",2.27,"tesseract bin",6
12,9.49986362613187,-74.6815251646771,-7.65597270377154,1.5042519745021,-238398.8349084,-238378.847693904,142,"tesseract","bin",2.27,"tesseract bin",6
13,9.55175945798881,-59.6554989736567,-7.59837571762177,1.50794007865162,-236172.016457344,-236149.464293491,191,"tesseract","bin",2.27,"tesseract bin",6
14,9.5745096416522,-63.9203668612702,-7.59577197020261,1.51309892814627,-235478.865351673,-235453.67413049,143,"tesseract","bin",2.27,"tesseract bin",6
15,9.49883203539941,-74.2938371996565,-7.72389217449579,1.50883332714517,-236381.230806527,-236353.331535143,153,"tesseract","bin",2.27,"tesseract bin",6
16,9.49125576570586,-74.1966796625202,-7.65127755407502,1.5922429849021,-235256.567897407,-235225.896037301,128,"tesseract","bin",2.27,"tesseract bin",6
17,9.53580529306213,-81.1116987669105,-7.83817082006616,1.59838058004924,-234090.348909396,-234056.843835946,76,"tesseract","bin",2.27,"tesseract bin",6
18,9.51502903342111,-83.189594672937,-7.8557408401286,1.63130404953415,-232830.249985827,-232793.854540619,65,"tesseract","bin",2.27,"tesseract bin",6
19,9.54769137798344,-79.9286918715443,-7.86195958509455,1.66585904845723,-232197.387497151,-232158.047612963,66,"tesseract","bin",2.27,"tesseract bin",6
20,9.55695038348681,-87.4871563739141,-7.87070109528949,1.72144456241813,-231545.994477387,-231503.658860927,74,"tesseract","bin",2.27,"tesseract bin",6
6,9.26654034047216,-75.2882868032391,-7.45791631324823,1.49282687255659,-227267.562483707,-227260.983232495,131,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
7,9.35440390591473,-69.3358246201944,-7.51948648927384,1.46501000785836,-225064.820344367,-225056.295183006,138,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
8,9.34512035319684,-78.2733616553432,-7.56834411927185,1.47265455368549,-224615.556204066,-224604.951601163,175,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
9,9.38685001072356,-81.9642345532287,-7.83708606778334,1.46131632104719,-222448.555830104,-222435.754002624,162,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
10,9.41209313180202,-72.7636583809574,-7.77483924816179,1.44820461624757,-220894.750111291,-220879.645698718,165,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
11,9.4220626023438,-71.4243502696914,-7.78052637801234,1.4314964826432,-220507.312616204,-220489.810308358,137,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
12,9.50248708734647,-80.7780480975138,-7.74320024391065,1.47743096260803,-219524.657396935,-219504.67018244,237,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
13,9.45746364282358,-83.2091744679341,-7.82714437423997,1.47723021102282,-218448.416861857,-218425.864698004,148,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
14,9.55301338410086,-67.1365608614462,-7.68423209735278,1.50579587266137,-215880.34184791,-215855.150626727,135,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
15,9.4807507841723,-81.2812756430523,-7.61189054162628,1.53379894662619,-214730.183351026,-214702.284079642,179,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
16,9.50876804895309,-72.1731549716095,-7.7818367160761,1.54510997740761,-213616.443564008,-213585.771703902,135,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
17,9.57011696506852,-75.9341351476883,-7.75718674661208,1.59536554528412,-212873.065308228,-212839.560234778,143,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
18,9.5443645849175,-79.1943955674996,-7.94865494755893,1.62607719321727,-212247.184831306,-212210.789386098,113,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
19,9.53276029369351,-85.596145151751,-7.84314230950272,1.64726133995463,-211790.045730667,-211750.70584648,86,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
20,9.54037812314035,-81.5677368429718,-7.98104120964466,1.72487997622852,-210816.117458615,-210773.781842154,95,"tesseract","col + blur",24.7564596273292,"tesseract col + blur",6
6,9.23741142889153,-62.5311177023007,-7.7232654527019,1.46002354915475,-240885.495271969,-240878.916020757,99,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
7,9.31179560992219,-75.6384768475599,-7.66824489000205,1.43099894402978,-238625.207926215,-238616.682764854,128,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
8,9.41093695044931,-72.3110052880636,-7.74466551956431,1.41974914109862,-236224.435443421,-236213.830840518,109,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
9,9.43511243016978,-71.9201566935794,-7.73581049554931,1.42421843353022,-234333.39276207,-234320.59093459,178,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
10,9.44981755598628,-68.2402480421814,-7.77992932562041,1.43868560529958,-232688.226252223,-232673.12183965,137,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
11,9.47915726682817,-59.93394357742,-7.77091565189991,1.40103272746207,-230598.703745258,-230581.201437412,194,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
12,9.42488877936388,-68.538821807788,-7.87423859266084,1.44084107625778,-230860.231579781,-230840.244365286,134,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
13,9.46256252565671,-75.9559840781113,-8.00094683544986,1.43080803019974,-230091.070640333,-230068.51847648,160,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
14,9.4577590034621,-74.5110396970022,-7.99242862743043,1.44799715151721,-229140.296246119,-229115.105024936,162,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
15,9.45045622125446,-81.5193976215234,-8.02524947028723,1.45931242167424,-228078.261949668,-228050.362678284,103,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
16,9.48838136675577,-78.3867765014437,-7.9305680860356,1.4750895862275,-226990.036585312,-226959.364725206,114,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
17,9.52441361707801,-84.9179131499815,-7.97143048026144,1.51232237703466,-225673.943299205,-225640.438225755,103,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
18,9.52490396773758,-87.1919009827079,-8.04127987409058,1.57319670810841,-224307.298099518,-224270.90265431,94,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
19,9.53488357228894,-84.6181772571516,-8.05586520739745,1.60981145470509,-224268.217211161,-224228.877326974,73,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
20,9.55111170536425,-88.8176273064644,-8.06942846936211,1.67838063961264,-223073.891310493,-223031.555694033,62,"tesseract","col + weak",10.5724844720497,"tesseract col + weak",7
6,8.01305626793122,-19.3684915702536,-7.44200341858742,1.39363901164388,-513160.802743396,-513154.223492184,117,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
7,8.04286760176945,-19.2678193023399,-7.63246737511631,1.36213441478527,-511078.812432716,-511070.287271355,53,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
8,8.2519279777976,-17.8980166375524,-7.61173576970552,1.38800148154442,-508799.937296994,-508789.332694092,81,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
9,8.2719569806188,-16.0326514055456,-7.68663844488128,1.35621724825811,-507844.791002496,-507831.989175016,56,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
10,8.39202686741544,-19.4962323584407,-7.80428259283631,1.34713204230005,-506002.261902161,-505987.157489588,117,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
11,8.45500774398501,-18.8046512995291,-7.83618348800887,1.33968401864187,-504244.087234336,-504226.58492649,86,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
12,8.55926045358947,-23.5258612819436,-7.87333889570581,1.34705726900826,-502542.721519824,-502522.734305328,81,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
13,8.66249058323992,-28.4999287754692,-7.82299622901715,1.35733634050021,-501130.825986748,-501108.273822895,41,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
14,8.64933912440175,-28.2510234670915,-7.94004759411003,1.34398086150779,-499780.744831165,-499755.553609983,95,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
15,8.74039326784713,-29.2058567426828,-7.98505132859345,1.34741075604395,-499127.827162188,-499099.927890804,40,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
16,8.79993803137496,-28.2032073841409,-7.91054125785674,1.39266629108334,-496784.483959946,-496753.81209984,112,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
17,8.84463697831003,-27.2533849316217,-8.04061252061908,1.40579063165854,-496004.244768667,-495970.739695217,128,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
18,8.83093987230257,-22.4661143888505,-8.05745855173165,1.42995654510518,-494271.277405492,-494234.881960284,124,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
19,8.90446545130706,-30.8666510045311,-8.05453611887172,1.40191368170088,-493218.308867917,-493178.96898373,128,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
20,8.97298989508696,-34.5684978472257,-7.99265965343905,1.43901784982217,-492817.848425585,-492775.512809124,78,"tesseract","col + snp",70.1889751552795,"tesseract col + snp",6
6,9.12361050051981,-59.8134219176254,-7.25400906101673,1.47568987968535,-208782.264633606,-208775.685382394,162,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
7,9.29954743861567,-61.5835028455524,-7.22846486547912,1.52782624616137,-206333.961495726,-206325.436334365,166,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
8,9.41017336787438,-57.1821477010369,-7.25796311765615,1.46582029880658,-203481.795203041,-203471.190600138,143,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
9,9.41017115871826,-62.3242090283206,-7.38522092466934,1.49486754526655,-202231.212771077,-202218.410943597,174,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
10,9.40703166509916,-62.7398052658715,-7.41528426177052,1.46528037126045,-201145.039434856,-201129.935022283,177,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
11,9.37930173022517,-63.9926245708997,-7.47047869060177,1.46203357090792,-200027.825114416,-200010.32280657,199,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
12,9.37397039411057,-64.5457435283173,-7.51990626345075,1.48243021527329,-199139.319766734,-199119.332552238,153,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
13,9.32965720349629,-71.1564582141844,-7.6446940821858,1.46724928854751,-199483.450299222,-199460.898135368,41,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
14,9.37702392217949,-75.2990258452035,-7.73116312008335,1.47740732314136,-198382.465825818,-198357.274604636,40,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
15,9.42336405643833,-71.3197717420373,-7.78043646748257,1.52139467428837,-196999.505462206,-196971.606190822,76,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
16,9.41792322955526,-78.6545637141802,-7.71852471132742,1.54499931366826,-195474.553743691,-195443.881883585,35,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
17,9.46429193556971,-72.4180041680962,-7.73901002529514,1.61347930554048,-193998.63228417,-193965.12721072,108,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
18,9.44906141499397,-82.3133743488309,-7.98209579677373,1.64763823283205,-194041.969643501,-194005.574198293,62,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
19,9.48569172783061,-78.7878682406001,-7.93127280429283,1.75712696095954,-192594.088417427,-192554.74853324,65,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
20,9.52044612909602,-75.3981181105687,-7.87260566179744,1.83010912937352,-191916.906596435,-191874.570979975,57,"tesseract","col + wm",25.2428881987578,"tesseract col + wm",7
6,9.2599021571856,-63.9675078817915,-7.31065872017332,1.40165156400929,-196824.767874522,-196818.18862331,116,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
7,9.28346690779337,-67.334271672464,-7.37260722379191,1.44359137441377,-196400.880123339,-196392.354961978,168,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
8,9.3428395357385,-54.2792888413449,-7.4057112161066,1.41509232530173,-194306.35194418,-194295.747341277,130,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
9,9.2901463029602,-63.7812693885875,-7.36553336520368,1.42527352574814,-194141.090139775,-194128.288312295,155,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
10,9.37643480158978,-58.0799800585414,-7.40187737083813,1.41738548738859,-191838.177967464,-191823.073554891,129,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
11,9.40861472780602,-53.2372234539344,-7.46342053838065,1.45019357504343,-190214.801242075,-190197.298934229,98,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
12,9.48188609918938,-53.7235134606151,-7.60111570885697,1.46085736485149,-189364.430434493,-189344.443219997,82,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
13,9.45764771920686,-65.0226189716224,-7.67171957430774,1.47182891421632,-188589.602644487,-188567.050480634,119,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
14,9.49117271754021,-72.9847677273298,-7.76571934509928,1.48159740882193,-187978.819185331,-187953.627964149,55,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
15,9.51718379759044,-70.0933792105198,-7.67185836798091,1.53234151441042,-186877.366632939,-186849.467361555,66,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
16,9.48668446501526,-66.894199329751,-7.69124834975696,1.58024128110187,-186069.053752975,-186038.381892869,82,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
17,9.51341334545982,-69.8209605073534,-7.76471662062246,1.63327209559705,-185212.121749259,-185178.616675809,60,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
18,9.51568218875141,-74.980817920967,-7.72690679181486,1.69153212425338,-184640.786468791,-184604.391023583,56,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
19,9.53443862728131,-75.7413136276248,-7.90492185073827,1.78045798733873,-184015.933213119,-183976.593328932,42,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
20,9.5448654452542,-72.9250114905845,-7.74161290468407,1.8693664353967,-183189.336653883,-183147.001037423,31,"tesseract","col + scrib",28.1788198757764,"tesseract col + scrib",6
6,9.27594465853831,-64.3781750669399,-7.356286903218,12.1538590358008,-218202.561066704,-218195.981815492,290,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
7,9.41265454512411,-69.3303210961226,-7.35376156810571,1.48057143140897,-215502.892070465,-215494.366909104,129,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
8,9.37036278659365,-70.4877450917927,-7.44383299162515,1.4614871499952,-214115.517893868,-214104.913290965,97,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
9,9.32343958463481,-71.5497728152294,-7.40761940751804,1.48754519101683,-212477.161060233,-212464.359232753,157,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
10,9.37244609368549,-74.8588492276798,-7.41689267488079,1.42439441592226,-211576.514623938,-211561.410211365,88,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
11,9.41036558849375,-71.8273917514713,-7.42159206444906,1.43800126371117,-210199.426155493,-210181.923847647,152,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
12,9.39463471444986,-81.2376965384916,-7.54592743231982,1.4570557805689,-209865.481376497,-209845.494162001,122,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
13,9.43232875780894,-86.0616928036004,-7.60421744680596,1.47772456852028,-208051.420472107,-208028.868308254,159,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
14,9.50373951007516,-78.1414850279966,-7.60815117681494,1.53215618401515,-206967.352067147,-206942.160845965,165,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
15,9.53490150234928,-81.6227170999428,-7.70849015925063,1.54544931412272,-206379.601058699,-206351.701787315,117,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
16,9.52473520721497,-83.8908152038213,-7.85045358918326,1.52082774732869,-206086.010866939,-206055.339006833,91,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
17,9.56224719942798,-76.4643611008558,-7.78183674054401,1.55684249376885,-204233.066438073,-204199.561364622,187,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
18,9.59523630197715,-78.3123001101795,-7.84626165386649,1.62182809366623,-203016.118477142,-202979.723031934,168,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
